Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
1996;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
1997;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
1998;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
1999;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2000;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2001;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2002;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2003;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2004;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2005;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2006;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2007;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2008;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2009;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2010;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2011;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2012;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2013;008.2Z;Neselva i Asker;0;6;0;0;1;0;0;0;0;0;0;0
2014;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
2015;008.2Z;Neselva i Asker;0;0;0;0;0;0;0;0;0;0;0;0
